"","playerName","restrictedDuo"
"1","Federico Camporesi [IT]","Lunala Miraidon"
"2","Marco Hemantha Kaludura Silva [IT]","Calyrex [Shadow Rider] Zamazenta"
"3","kazuki kobayashi [JP]","Calyrex [Ice Rider] Miraidon"
"4","Eric Rios [ES]","Miraidon Zamazenta"
"5","Francesco Pio Pero [IT]","Miraidon Terapagos"
"6","Yuma Kinugawa [JP]","Calyrex [Shadow Rider] Zamazenta"
"7","Ruben Gianzini [IT]","Calyrex [Shadow Rider] Zamazenta"
"8","Gabriel Agati [BR]","Calyrex [Shadow Rider] Koraidon"
"9","Behzad Muntazir [US]","Calyrex [Ice Rider] Miraidon"
"10","Justin Knox [US]","Lunala Miraidon"
"11","Carson Confer [US]","Calyrex [Ice Rider] Miraidon"
"12","Luca Ceribelli [IT]","Lunala Miraidon"
"13","Thomas Irwin [US]","Miraidon Terapagos"
"14","Víctor Medina [ES]","Calyrex [Shadow Rider] Zamazenta"
"15","Mattie Morgan [IE]","Calyrex [Shadow Rider] Zamazenta"
"16","Thomas Cooleen [US]","Calyrex [Ice Rider] Miraidon"
"17","Zachary Weed [US]","Calyrex [Ice Rider] Miraidon"
"18","Tim Edwards [US]","Calyrex [Shadow Rider] Zamazenta"
"19","Justin Tang [US]","Miraidon Zamazenta"
"20","Giovanni Cischke [US]","Koraidon Lunala"
"21","Nick Navarre [US]","Calyrex [Ice Rider] Kyogre"
"22","Marcus Dion [CA]","Calyrex [Ice Rider] Miraidon"
"23","Nishant Joshi [US]","Calyrex [Ice Rider] Miraidon"
"24","James Evans [US]","Calyrex [Shadow Rider] Koraidon"
"25","Alex Gómez Berna [ES]","Calyrex [Ice Rider] Kyogre"
"26","Kyle Livinghouse [US]","Calyrex [Shadow Rider] Zamazenta"
"27","Simone Sanvito [IT]","Calyrex [Shadow Rider] Zamazenta"
"28","Shohei Kimura [JP]","Miraidon Zamazenta"
"29","Sohaib Mufti [US]","Miraidon Zamazenta"
"30","Hanns Pizarro [PE]","Calyrex [Shadow Rider] Zamazenta"
"31","Riley Factura [US]","Calyrex [Ice Rider] Miraidon"
"32","Ernesto Verdugo [MX]","Calyrex [Ice Rider] Kyogre"
"33","Ko Tsukide [JP]","Miraidon Zamazenta"
"34","Jeudy Azzarelli [US]","Miraidon Zamazenta"
"35","Mikal Mahoney [US]","Calyrex [Shadow Rider] Zamazenta"
"36","David Kubiak [US]","Calyrex [Shadow Rider] Zamazenta"
"37","Jérémy Côté [CA]","Calyrex [Shadow Rider] Koraidon"
"38","Andrew Ding [US]","Calyrex [Ice Rider] Miraidon"
"39","Andrew Jenkins [US]","Calyrex [Shadow Rider] Zacian"
"40","Yuki Zaninovich [US]","Calyrex [Shadow Rider] Zamazenta"
"41","Frederik Nielsen [DK]","Miraidon Zamazenta"
"42","Kian Campbell [US]","Kyogre Zacian"
"43","Michael Kelsch [DE]","Calyrex [Ice Rider] Miraidon"
"44","Sam Danneker [US]","Kyogre Zamazenta"
"45","Raghav Malaviya [US]","Calyrex [Ice Rider] Miraidon"
"46","Yan Chak Li [US]","Calyrex [Ice Rider] Miraidon"
"47","Adonis Watford [US]","Calyrex [Shadow Rider] Koraidon"
"48","Andrew Zheng [US]","Calyrex [Ice Rider] Lunala"
"49","Nikolaj Høj Nielsen [DK]","Miraidon Zamazenta"
"50","Calvin Nisson [US]","Calyrex [Shadow Rider] Terapagos"
"51","Will Connor [US]","Calyrex [Shadow Rider] Koraidon"
"52","Joji Kaieda [JP]","Calyrex [Ice Rider] Kyogre"
"53","Dylan Salvanera [US]","Koraidon Lunala"
"54","Brian Fournier [US]","Groudon Miraidon"
"55","Toler Webb [US]","Calyrex [Shadow Rider] Koraidon"
